angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(96, 185, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(95, 185, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(94, 185, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(96, 186, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(96, 186, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(97, 186, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(100, 190, 228, 228)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(99, 189, 229, 229)",0.0,0.01,0.0,0.98,0.01,0.0
0.01,"(100, 189, 229, 229)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(98, 189, 230, 230)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(99, 189, 229, 229)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(99, 189, 229, 229)",0.0,0.01,0.0,0.97,0.02,0.0
0.01,"(98, 197, 219, 219)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(96, 190, 231, 231)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(96, 190, 232, 232)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(98, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(95, 189, 234, 234)",0.0,0.01,0.01,0.97,0.01,0.0
0.01,"(95, 190, 232, 232)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(98, 186, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(99, 188, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 190, 234, 234)",0.0,0.0,0.01,0.98,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(94, 190, 233, 233)",0.0,0.01,0.01,0.98,0.0,0.0
0.01,"(94, 190, 232, 232)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(98, 186, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(97, 186, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(98, 187, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(97, 186, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(96, 186, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(98, 190, 228, 228)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(97, 190, 228, 228)",0.0,0.01,0.0,0.96,0.02,0.0
